data,semana_epidemiologica,casos_dengue,ano,chuva,temperatura_media,umidade,pressao,week_start,ANO_SEMANA,NOTIFICACOES,rain_sum,temp_mean,humidity_mean,pressure_mean,casos_minus_notificacoes,casos_minus_notificacoes_abs,chuva_minus_rain_sum,temperatura_minus_temp_mean,umidade_minus_humidity_mean,pressao_minus_pressure_mean
2022-05-15,202220,3489,2022,0.0,16.73,62.1,888.2,2022-05-15,202220,3276,0.0,16.72797619047619,62.09523809523809,888.1952380952381,213,213,0.0,0.0020238095238092058,0.004761904761913627,0.004761904761949154
2022-05-22,202221,2557,2022,0.0,18.69,59.77,890.57,2022-05-22,202221,2316,0.0,18.686904761904763,59.773809523809526,890.5714285714286,241,241,0.0,0.003095238095237818,-0.003809523809522375,-0.0014285714285051654
2022-05-29,202222,2325,2022,0.0,19.95,51.75,887.65,2022-05-29,202222,1852,0.0,19.94940476190476,51.74999999999999,887.6511904761904,473,473,0.0,0.0005952380952400915,7.105427357601002e-15,-0.0011904761904588668
2022-06-05,202223,1950,2022,0.0,19.63,59.17,887.99,2022-06-05,202223,1551,0.0,19.632738095238096,59.172619047619044,887.989880952381,399,399,0.0,-0.0027380952380973156,-0.002619047619042192,0.00011904761902314931
2022-06-12,202224,1596,2022,0.0,19.7,61.48,888.88,2022-06-12,202224,1197,0.0,19.695238095238096,61.482142857142854,888.8839285714286,399,399,0.0,0.004761904761902969,-0.002142857142857224,-0.003928571428559735
2022-06-19,202225,1455,2022,0.0,19.73,54.81,889.63,2022-06-19,202225,1020,0.0,19.729761904761904,54.8095238095238,889.6333333333333,435,435,0.0,0.0002380952380960366,0.00047619047619917865,-0.0033333333333303017
2022-06-26,202226,1162,2022,0.0,18.69,54.99,889.39,2022-06-26,202226,752,0.0,18.685119047619047,54.99404761904761,889.3946428571428,410,410,0.0,0.00488095238095454,-0.004047619047611306,-0.004642857142812318
2022-07-03,202227,810,2022,0.0,18.87,55.74,891.14,2022-07-03,202227,514,0.0,18.87440476190476,55.738095238095234,891.1369047619047,296,296,0.0,-0.004404761904758914,0.0019047619047682929,0.003095238095284003
2022-07-10,202228,689,2022,0.0,19.47,51.36,889.29,2022-07-10,202228,445,0.0,19.46607142857143,51.363095238095234,889.2904761904762,244,244,0.0,0.003928571428570393,-0.003095238095234265,-0.0004761904762062841
2022-07-17,202229,581,2022,0.0,19.28,52.61,889.9,2022-07-17,202229,366,0.0,19.27559523809524,52.607142857142854,889.8964285714285,215,215,0.0,0.004404761904762466,0.002857142857145334,0.003571428571490287
2022-07-24,202230,576,2022,0.0,19.68,48.04,889.05,2022-07-24,202230,384,0.0,19.68095238095238,48.04166666666667,889.0505952380952,192,192,0.0,-0.0009523809523805937,-0.0016666666666722563,-0.0005952380952294334
2022-07-31,202231,515,2022,0.0,21.62,41.27,888.01,2022-07-31,202231,347,0.0,21.62142857142857,41.273809523809526,888.0136904761905,168,168,0.0,-0.0014285714285691142,-0.003809523809522375,-0.0036904761905134364
2022-08-07,202232,564,2022,0.0,20.88,45.15,888.77,2022-08-07,202232,357,0.0,20.876785714285713,45.154761904761905,888.7672619047619,207,207,0.0,0.003214285714285836,-0.004761904761906521,0.0027380952381008683
2022-08-14,202233,619,2022,0.0,21.65,43.12,888.84,2022-08-14,202233,331,0.0,21.648809523809522,43.125,888.8380952380952,288,288,0.0,0.0011904761904766303,-0.005000000000002558,0.0019047619048251363
2022-08-21,202234,571,2022,0.0,20.27,44.02,890.3,2022-08-21,202234,343,0.0,20.270833333333332,44.01785714285713,890.2964285714286,228,228,0.0,-0.0008333333333325754,0.002142857142871435,0.0035714285713766003
2022-08-28,202235,625,2022,0.0,20.9,41.61,889.37,2022-08-28,202235,392,0.0,20.89940476190476,41.607142857142854,889.3714285714286,233,233,0.0,0.0005952380952400915,0.002857142857145334,-0.0014285714286188522
2022-09-04,202236,639,2022,0.0,22.66,37.05,889.54,2022-09-04,202236,433,0.0,22.65654761904762,37.047619047619044,889.5380952380953,206,206,0.0,0.0034523809523818727,0.0023809523809532607,0.0019047619047114495
2022-09-11,202237,671,2022,1.4,25.04,34.2,886.75,2022-09-11,202237,426,1.4,25.041071428571428,34.20238095238095,886.752380952381,245,245,0.0,-0.001071428571428612,-0.0023809523809461552,-0.0023809523810314204
2022-09-18,202238,627,2022,39.0,21.76,71.24,886.13,2022-09-18,202238,421,39.0,21.760714285714283,71.23809523809523,886.1321428571429,206,206,0.0,-0.0007142857142810044,0.0019047619047682929,-0.002142857142871435
2022-09-25,202239,701,2022,0.0,23.46,58.71,887.46,2022-09-25,202239,490,0.0,23.464285714285715,58.70833333333333,887.4565476190476,211,211,0.0,-0.004285714285714448,0.0016666666666722563,0.003452380952467138
2022-10-02,202240,613,2022,0.0,22.98,59.73,886.43,2022-10-02,202240,431,0.0,22.974999999999998,59.726190476190474,886.4327380952382,182,182,0.0,0.005000000000002558,0.003809523809522375,-0.002738095238214555
2022-10-09,202241,649,2022,0.2,24.83,39.19,887.96,2022-10-09,202241,432,0.2,24.83452380952381,39.19047619047619,887.9553571428571,217,217,0.0,-0.004523809523810485,-0.0004761904761920732,0.004642857142926005
2022-10-16,202242,698,2022,0.0,24.84,39.51,886.15,2022-10-16,202242,474,0.0,24.83690476190476,39.50595238095239,886.1547619047618,224,224,0.0,0.0030952380952413705,0.004047619047611306,-0.004761904761835467
2022-10-23,202243,592,2022,21.2,22.24,67.13,885.92,2022-10-23,202243,375,21.2,22.235119047619047,67.13095238095238,885.9196428571429,217,217,0.0,0.004880952380950987,-0.0009523809523841464,0.00035714285706944793
2022-10-30,202244,510,2022,70.4,20.09,78.4,885.9,2022-10-30,202244,280,70.4,20.08690476190476,78.39880952380952,885.9011904761904,230,230,0.0,0.0030952380952413705,0.0011904761904872885,-0.0011904761904588668
2022-11-06,202245,559,2022,100.0,21.12,72.12,886.63,2022-11-06,202245,377,100.0,21.123809523809523,72.11904761904762,886.6315476190476,182,182,0.0,-0.003809523809522375,0.0009523809523841464,-0.0015476190476420015
2022-11-13,202246,688,2022,169.0,21.45,75.45,885.91,2022-11-13,202246,430,169.0,21.448214285714283,75.44642857142857,885.9095238095239,258,258,0.0,0.0017857142857167219,0.0035714285714334437,0.00047619047609259724
2022-11-20,202247,775,2022,84.6,20.51,79.01,884.78,2022-11-20,202247,502,84.6,20.51190476190476,79.01190476190477,884.7809523809523,273,273,0.0,-0.0019047619047576347,-0.0019047619047682929,-0.0009523809522988813
2022-11-27,202248,889,2022,31.6,20.81,78.36,882.23,2022-11-27,202248,561,31.6,20.81130952380952,78.35714285714286,882.2261904761905,328,328,0.0,-0.001309523809521096,0.0028571428571382285,0.0038095238095365858
2022-12-04,202249,1050,2022,121.6,21.13,79.94,885.42,2022-12-04,202249,725,121.6,21.129166666666666,79.94047619047619,885.4250000000001,325,325,0.0,0.0008333333333325754,-0.0004761904761920732,-0.005000000000109139
2022-12-11,202250,1003,2022,48.4,21.07,79.92,883.99,2022-12-11,202250,746,48.4,21.073214285714283,79.91666666666667,883.9851190476192,257,257,0.0,-0.0032142857142822834,0.0033333333333303017,0.004880952380858616
2022-12-18,202251,889,2022,54.2,20.6,81.92,884.18,2022-12-18,202251,609,54.2,20.59702380952381,81.92261904761905,884.1839285714285,280,280,0.0,0.0029761904761897995,-0.0026190476190492973,-0.003928571428559735
2022-12-25,202252,802,2022,85.8,20.51,83.07,886.35,2022-12-25,202252,370,85.8,20.510714285714283,83.07142857142857,886.3488095238096,432,432,0.0,-0.0007142857142810044,-0.0014285714285762197,0.0011904761904588668
2023-01-01,202301,1013,2023,34.4,21.16,79.34,886.14,2023-01-01,202301,718,34.4,21.159523809523808,79.33928571428571,886.1404761904762,295,295,0.0,0.0004761904761920732,0.0007142857142952153,-0.0004761904762062841
2023-01-08,202302,1001,2023,74.4,20.33,81.71,887.1,2023-01-08,202302,713,74.4,20.333333333333332,81.71428571428571,887.1041666666666,288,288,0.0,-0.0033333333333338544,-0.004285714285714448,-0.004166666666606034
2023-01-15,202303,1183,2023,22.8,21.63,73.26,886.9,2023-01-15,202303,794,22.8,21.62738095238095,73.26190476190477,886.9029761904761,389,389,0.0,0.0026190476190492973,-0.0019047619047682929,-0.002976190476147167
2023-01-22,202304,1021,2023,41.4,20.88,80.35,885.33,2023-01-22,202304,712,41.4,20.883928571428573,80.34523809523809,885.3255952380953,309,309,0.0,-0.003928571428573946,0.004761904761906521,0.004404761904766019
2023-01-29,202305,1260,2023,18.0,21.96,72.86,886.93,2023-01-29,202305,888,18.0,21.95535714285714,72.85714285714286,886.9261904761905,372,372,0.0,0.004642857142862056,0.0028571428571382285,0.003809523809422899
2023-02-05,202306,1345,2023,24.6,22.6,70.76,886.76,2023-02-05,202306,959,24.6,22.598214285714285,70.75595238095238,886.7589285714286,386,386,0.0,0.0017857142857167219,0.004047619047625517,0.0010714285714357175
2023-02-12,202307,1174,2023,6.4,23.79,64.9,885.11,2023-02-12,202307,802,6.4,23.792261904761904,64.90476190476191,885.1142857142858,372,372,0.0,-0.0022619047619052424,-0.004761904761906521,-0.00428571428574287
2023-02-19,202308,1211,2023,23.8,21.54,75.61,887.47,2023-02-19,202308,883,23.8,21.54404761904762,75.60714285714286,887.470238095238,328,328,0.0,-0.004047619047621964,0.0028571428571382285,-0.00023809523793261178
2023-02-26,202309,1208,2023,18.8,22.44,70.57,887.94,2023-02-26,202309,908,18.8,22.441666666666663,70.57142857142857,887.9375,300,300,0.0,-0.0016666666666615981,-0.0014285714285762197,0.0025000000000545697
2023-03-05,202310,1330,2023,44.8,21.77,74.61,886.54,2023-03-05,202310,1014,44.8,21.76904761904762,74.61309523809523,886.5434523809524,316,316,0.0,0.0009523809523805937,-0.0030952380952271596,-0.003452380952467138
2023-03-12,202311,1298,2023,45.6,20.92,80.88,886.63,2023-03-12,202311,976,45.60000000000001,20.922023809523807,80.88095238095238,886.6309523809524,322,322,-7.105427357601002e-15,-0.002023809523805653,-0.0009523809523841464,-0.0009523809524125681
2023-03-19,202312,1529,2023,26.0,21.02,74.88,887.83,2023-03-19,202312,1160,26.0,21.01904761904762,74.88095238095238,887.8321428571428,369,369,0.0,0.0009523809523805937,-0.0009523809523841464,-0.002142857142757748
2023-03-26,202313,1506,2023,0.0,22.81,62.43,887.45,2023-03-26,202313,1121,0.0,22.81488095238095,62.42857142857143,887.4458333333333,385,385,0.0,-0.004880952380950987,0.0014285714285691142,0.0041666666667197205
2023-04-02,202314,1303,2023,14.6,20.82,77.5,886.24,2023-04-02,202314,955,14.600000000000001,20.82083333333333,77.5,886.2422619047619,348,348,-1.7763568394002505e-15,-0.0008333333333290227,0.0,-0.0022619047618945842
2023-04-09,202315,1562,2023,87.4,21.45,80.15,887.04,2023-04-09,202315,1266,87.39999999999999,21.451190476190476,80.14880952380952,887.0380952380953,296,296,1.4210854715202004e-14,-0.0011904761904766303,0.0011904761904872885,0.0019047619047114495
2023-04-16,202316,1410,2023,31.2,20.97,79.49,885.76,2023-04-16,202316,1155,31.2,20.96547619047619,79.49404761904762,885.7589285714286,255,255,0.0,0.004523809523810485,-0.004047619047625517,0.0010714285714357175
2023-04-23,202317,1281,2023,27.4,20.8,75.58,888.28,2023-04-23,202317,1053,27.4,20.804761904761904,75.57738095238095,888.2767857142857,228,228,0.0,-0.004761904761902969,0.0026190476190492973,0.0032142857143071524
